 reading input parameter from Param.in
  meteorologic parameters
  canopy parameters
  interception parameters
  snow parameters
  leaf parameters affecting PE
  soil parameters
  i1=            1 i2=           13
  flow parameters
  integration specifications
  heat flow
 in\Param.in closed
 in\Climate.in opened
 begin day loop

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
21. 8.2000  434.   0.00   0.00    0.0   0.3   1.2   0.0   0.1   0.2      -0.095
22. 8.2000  431.   0.00   0.00    0.0   1.9   1.1   0.0   0.2   1.8      -0.131
23. 8.2000  428.   0.00   0.00    0.0   2.3   1.0   0.0   0.3   2.1      -0.158
24. 8.2000  424.   0.00   0.00    0.0   3.0   0.8   0.0   0.4   2.7      -0.106
25. 8.2000  422.   0.00   0.00    0.0   1.8   0.7   0.0   0.2   1.6      -0.140
26. 8.2000  418.   0.00   0.00    0.0   3.2   0.6   0.0   0.6   2.7      -0.083
27. 8.2000  415.   0.00   0.00    0.0   2.4   0.5   0.0   0.3   2.1      -0.131

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
28. 8.2000  413.   0.00   0.00    0.0   2.2   0.5   0.0   0.3   1.9      -0.146
29. 8.2000  411.   0.04   0.00    0.1   1.7   0.4   0.0   0.2   1.5      -0.127
30. 8.2000  409.   0.08   0.00    0.2   1.9   0.4   0.0   0.2   1.7      -0.126
31. 8.2000  406.   0.00   0.00    0.0   1.9   0.4   0.0   0.2   1.7      -0.094
 1. 9.2000  408.   1.40   0.00    4.8   2.2   0.4   0.0   0.2   0.7       0.118
 2. 9.2000  420.   0.37   0.00   12.8   0.5   0.5   0.0   0.1   0.1      -0.008
 3. 9.2000  430.   0.33   0.00   11.8   0.3   0.8   0.0   0.0   0.0      -0.016
 4. 9.2000  431.   2.15   0.00    3.9   2.6   1.0   0.0   0.2   0.4       0.082
 5. 9.2000  430.   0.04   0.00    0.1   0.6   1.0   0.0   0.1   0.4      -0.108
 6. 9.2000  451.   0.97   0.00   24.3   1.2   1.8   0.0   0.1   0.2       0.010
 7. 9.2000  449.   1.32   0.00    3.1   1.9   3.1   0.0   0.2   0.4      -0.131
 8. 9.2000  447.   0.22   0.00    0.6   0.9   2.7   0.0   0.1   0.5      -0.162
 9. 9.2000  444.   0.15   0.00    0.4   0.7   2.3   0.0   0.1   0.4      -0.140
10. 9.2000  442.   0.00   0.00    0.0   0.9   1.9   0.0   0.1   0.8      -0.148
11. 9.2000  439.   0.00   0.00    0.0   1.4   1.7   0.0   0.2   1.3      -0.154
12. 9.2000  435.   0.00   0.00    0.0   2.2   1.4   0.0   0.3   2.0      -0.138
13. 9.2000  432.   0.00   0.00    0.0   1.7   1.2   0.0   0.3   1.4      -0.143
14. 9.2000  430.   0.00   0.00    0.0   1.3   1.0   0.0   0.2   1.2      -0.145
15. 9.2000  428.   0.00   0.00    0.0   1.1   0.9   0.0   0.2   0.9      -0.157
16. 9.2000  427.   0.00   0.00    0.0   0.5   0.9   0.0   0.1   0.4      -0.111

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
17. 9.2000  425.   0.00   0.00    0.0   0.9   0.8   0.0   0.1   0.8      -0.138
18. 9.2000  424.   0.00   0.00    0.0   0.4   0.8   0.0   0.1   0.3      -0.099
19. 9.2000  423.   0.05   0.00    0.2   1.4   0.7   0.0   0.3   1.1      -0.152
